image_id,label,class_name
2708637326.jpg,0,Cassava Bacterial Blight (CBB)
3025655144.jpg,3,Cassava Mosaic Disease (CMD)
1281527517.jpg,1,Cassava Brown Streak Disease (CBSD)
2405957142.jpg,3,Cassava Mosaic Disease (CMD)
1141275049.jpg,3,Cassava Mosaic Disease (CMD)
365293292.jpg,4,Healthy
1633836154.jpg,1,Cassava Brown Streak Disease (CBSD)
2665303813.jpg,2,Cassava Green Mottle (CGM)
3767372651.jpg,4,Healthy
922756535.jpg,4,Healthy
2606569889.jpg,3,Cassava Mosaic Disease (CMD)
2720050371.jpg,0,Cassava Bacterial Blight (CBB)
323643243.jpg,2,Cassava Green Mottle (CGM)
1228648727.jpg,1,Cassava Brown Streak Disease (CBSD)
3241593592.jpg,2,Cassava Green Mottle (CGM)
2926580522.jpg,3,Cassava Mosaic Disease (CMD)
2385541172.jpg,2,Cassava Green Mottle (CGM)
2189356747.jpg,3,Cassava Mosaic Disease (CMD)
2787235942.jpg,3,Cassava Mosaic Disease (CMD)
1308234304.jpg,3,Cassava Mosaic Disease (CMD)
263656708.jpg,3,Cassava Mosaic Disease (CMD)
3227289141.jpg,4,Healthy
2558359987.jpg,3,Cassava Mosaic Disease (CMD)
2287195555.jpg,3,Cassava Mosaic Disease (CMD)
2757717680.jpg,3,Cassava Mosaic Disease (CMD)
3106298633.jpg,4,Healthy
3419650756.jpg,2,Cassava Green Mottle (CGM)
1238420364.jpg,0,Cassava Bacterial Blight (CBB)
1067379852.jpg,3,Cassava Mosaic Disease (CMD)
3097440014.jpg,0,Cassava Bacterial Blight (CBB)
2173499031.jpg,3,Cassava Mosaic Disease (CMD)
2265748268.jpg,3,Cassava Mosaic Disease (CMD)
502274488.jpg,0,Cassava Bacterial Blight (CBB)
2582937466.jpg,1,Cassava Brown Streak Disease (CBSD)
93993180.jpg,4,Healthy
2839592089.jpg,3,Cassava Mosaic Disease (CMD)
1028128877.jpg,4,Healthy
3132128369.jpg,1,Cassava Brown Streak Disease (CBSD)
2704684004.jpg,1,Cassava Brown Streak Disease (CBSD)
2779441922.jpg,2,Cassava Green Mottle (CGM)
1621255319.jpg,2,Cassava Green Mottle (CGM)
1236036550.jpg,0,Cassava Bacterial Blight (CBB)
1834483972.jpg,4,Healthy
1122080430.jpg,4,Healthy
1280298978.jpg,0,Cassava Bacterial Blight (CBB)
1045099368.jpg,4,Healthy
122601029.jpg,2,Cassava Green Mottle (CGM)
2937926695.jpg,3,Cassava Mosaic Disease (CMD)
1938824069.jpg,1,Cassava Brown Streak Disease (CBSD)
230268037.jpg,1,Cassava Brown Streak Disease (CBSD)
2851517936.jpg,3,Cassava Mosaic Disease (CMD)
2355374074.jpg,2,Cassava Green Mottle (CGM)
1903950320.jpg,3,Cassava Mosaic Disease (CMD)
232348694.jpg,1,Cassava Brown Streak Disease (CBSD)
2234221282.jpg,3,Cassava Mosaic Disease (CMD)
207854902.jpg,0,Cassava Bacterial Blight (CBB)
3011135246.jpg,2,Cassava Green Mottle (CGM)
1870488612.jpg,4,Healthy
1025492337.jpg,3,Cassava Mosaic Disease (CMD)
2546131574.jpg,3,Cassava Mosaic Disease (CMD)
2503268859.jpg,3,Cassava Mosaic Disease (CMD)
300029526.jpg,3,Cassava Mosaic Disease (CMD)
2358654016.jpg,3,Cassava Mosaic Disease (CMD)
1857766258.jpg,0,Cassava Bacterial Blight (CBB)
1432401820.jpg,2,Cassava Green Mottle (CGM)
208435588.jpg,4,Healthy
849182498.jpg,4,Healthy
1269902527.jpg,1,Cassava Brown Streak Disease (CBSD)
2139342889.jpg,2,Cassava Green Mottle (CGM)
243035153.jpg,3,Cassava Mosaic Disease (CMD)
1532725356.jpg,2,Cassava Green Mottle (CGM)
2159189425.jpg,3,Cassava Mosaic Disease (CMD)
2540784633.jpg,3,Cassava Mosaic Disease (CMD)
1019366633.jpg,4,Healthy
269932465.jpg,3,Cassava Mosaic Disease (CMD)
1533215166.jpg,3,Cassava Mosaic Disease (CMD)
2570954443.jpg,3,Cassava Mosaic Disease (CMD)
1074399386.jpg,3,Cassava Mosaic Disease (CMD)
3634020849.jpg,0,Cassava Bacterial Blight (CBB)
1457571171.jpg,4,Healthy
3817881110.jpg,1,Cassava Brown Streak Disease (CBSD)
1069816211.jpg,2,Cassava Green Mottle (CGM)
3252023035.jpg,1,Cassava Brown Streak Disease (CBSD)
1146890765.jpg,3,Cassava Mosaic Disease (CMD)
109060770.jpg,2,Cassava Green Mottle (CGM)
1009489704.jpg,3,Cassava Mosaic Disease (CMD)
2555847338.jpg,1,Cassava Brown Streak Disease (CBSD)
1348307468.jpg,3,Cassava Mosaic Disease (CMD)
328826135.jpg,2,Cassava Green Mottle (CGM)
147932460.jpg,0,Cassava Bacterial Blight (CBB)
2356810303.jpg,3,Cassava Mosaic Disease (CMD)
813217011.jpg,3,Cassava Mosaic Disease (CMD)
3451141305.jpg,1,Cassava Brown Streak Disease (CBSD)
4146003606.jpg,2,Cassava Green Mottle (CGM)
242216582.jpg,2,Cassava Green Mottle (CGM)
1870824948.jpg,4,Healthy
1673586236.jpg,1,Cassava Brown Streak Disease (CBSD)
1391150010.jpg,2,Cassava Green Mottle (CGM)
199104607.jpg,1,Cassava Brown Streak Disease (CBSD)
244543629.jpg,3,Cassava Mosaic Disease (CMD)
2843047377.jpg,3,Cassava Mosaic Disease (CMD)
127742871.jpg,0,Cassava Bacterial Blight (CBB)
4233592574.jpg,4,Healthy
302428207.jpg,3,Cassava Mosaic Disease (CMD)
1116356197.jpg,2,Cassava Green Mottle (CGM)
2627091527.jpg,2,Cassava Green Mottle (CGM)
1264219928.jpg,2,Cassava Green Mottle (CGM)
3807557163.jpg,0,Cassava Bacterial Blight (CBB)
1174112023.jpg,3,Cassava Mosaic Disease (CMD)
2882742314.jpg,3,Cassava Mosaic Disease (CMD)
2597787460.jpg,3,Cassava Mosaic Disease (CMD)
1396114117.jpg,1,Cassava Brown Streak Disease (CBSD)
2554046191.jpg,3,Cassava Mosaic Disease (CMD)
